Bangla,Chittagong
বহুদিন পরে একটা ভাল ছবি দেখলাম,বউদ্দিন ফর এক্কান বালা চবি দেইলাম
অসম্ভব ভালো লিখেছেন,বেশি গম লিকখো
বহুদিন পরে একটা ভালো লেখা পড়লাম,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম
প্রচণ্ড মাথা ব্যথা করছিলো,মাতা হঁরাইলদি এএন ন
কিছুই বুঝতে পারলাম না,কিচুই ন বুযিলাম
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,ইবা ইয়ান দেহি বিয়ুশ অই গেইয়্যুয়
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক হতায় বউত সুন্দর লাগের অনেরে
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর
আপনার হাশির কাছে সব কিছু হার মেনে যায়,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই
আপনার চোখ অনেক সুন্দর,অনর চোক বউত সুন্দর
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে
অনেক সময় পর আপনাকে দেখছি,বউত দিন ফর অন অরে দেহির
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,দু বাই অর মাযে জাগা জমি লই হইয্যা অই
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,ফরে এক বাই কয়েত গেইয়্যুই আরেক বাই সুদান গেইয়্যুই
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,হদ্দিন বাদে সুদান অত্তুন আইস্যেদে মানুষ ইবা বিয়া গইরগে
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি",মুবাইল চারা বাতরুম অত যাইলে মনো অই যরুরি ফাইল চারা আফিস অত আইস্যি
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,যারারে গাইল দেয়া অই গেইয়্যুয় তারা দয়া গরি লাইন অত্তুন সরি যন
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,ফিচনে আইযো বিউত মানুষ লাইন অত তিয়ায় তাইক্কে
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,তারারে গালি দিবর সুযোগ গরি দন
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,বর বেশি কিচু ন হইয়্যুম হারন আবেগে চোক অত ফানি আ গেইয়্যুয়
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,তুঁই হদ্দে নে যে তাইবার ইতে এনেই তাকিবো
প্রথমে আপনাকে একটি দোকানে যেতে হবে,ফাস্টে অনত্তুন এক্কান দোয়ান অত যা ফরিবো
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,নিযর ফচন্দর বিয়াত বাপ মারে রায গরানো অয়্যে
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,মাইফোয়া ইবা লাল শারি ফিন্দি তিয়ায় তাইক্কে
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,বউওর লাই বলি বন্দুওক্কলর মাযে আর মুক দেহাইবর উফায় নাই
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আঁরে বেজ্ঞুনর সাম্মে মারি মারি বারিত লই আইস্যে
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,আঁই যানি এডে বউত মাইফোয়া কমেন্ট ফরিবার লাই আইবো
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,মাযে মাযে মনো অই বারি গর বেজ্ঞিন মশার নামঅত লেহি দি যঁঅল অত যাইগই
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো",তোঁয়ার অই আচি আঁই তোঁয়ার অই তাইক্কম
সারা জীবন তোমায় আমি ভালবেসে যাবো,আযিবন তোঁয়ারে আঁই বালবাসি যাইয়্যুম
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না",ফাশে তাইক্কো সারাযিবন দুরে ন যাইয়্যু
তোমায় ছাড়া একটুও আমার ভালো লাগে না,তোঁয়ারে চারা আঁর এক্কানাও গম ন লাগে
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ",হনিকারে আবেগের বালবাসা ন দিও মনোর বালবাসা দিও
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,হারন আবেগর বালবাসা একদিন বিবেকর হাচে আরি যাইবই
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,কেন গরি বুজাই তারে আঁই হত বালবাসি
অনেক দিন পর তোমাকে দেখলাম,বউতদিন ফর তোঁয়ারে দেইলাম
তোমাকে দেখে থমকে দারিয়ে ছিলাম,তোঁয়ারে দেহি দর অই তিয়ায় আচিলাম
আমি খুব কষ্টে নিজেকে সামলে নিলাম,আঁই বড় হস্টে নিযেরে চঅঁলাই লইয়্যি
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,যেত্তে তুঁই আঁরে দেহিয়েরেও না দেহার বান গইরগো এত্তে আত্তুন এন গম লাইজ্ঞে
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,তোঁয়ারে অনুবুতি ইয়ান হইয়েরে বুজাইত ন ফাইরগম
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,"তোঁয়ারে কুব মনোত ফরের, দিয়্যুম তোঁয়ারে লাল গোলাপ"
আমার জীবনে কেউ নেই তুমি ছাড়া,আঁর জিবনত হনিক্কাই নাই তুঁই চারা
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,আঁর জিবনত হনো সফ্ন নাই তুঁই চারা
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,আঁর দুচোক কিচু ন তুয়াই তোয়াঁরে চারা
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,যেত্তে মাইয়্যা বুযে এত্তে ফোয়া ন বুযে
তুমি শুধু মনে রেখো আমায় সারা বেলা,তুঁই শুদু মনে রাইক্কো আঁরে সারা বেলা
চোখের কান্না মুছে  দেব তোমায় হাসি,চোকর ফানি মুচি দিয়্যুম তোঁয়ারে আসি
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,এতেল্লাই ত বন্দু তোঁয়ারে এত বালবাসি
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","হত সুন্দর তুঁই, ফ্রেম অত ফইরগি আঁই"
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,ফোয়াওক্কল বালবাসার অবিনয় গইরতে গইরতে হত্তে যে আঁচা আঁচা বালবাসি ফেলাই ইতারা নিজেরাও হইত ন ফারে
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,মাইফোয়াওক্কল বালবাইসতে বাইস্তে হত্তে যে অবিনয় শুরু গরে ইতারা নিজেরাও হইত ন ফারে
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,এই ফিতিবিত ফ্রিয় মানুষওন চারা বাচি তাহা হস্টগর কিন্তু অসম্বব নয়
কারো জন্য কারো জীবন থেমে থাকে না,হনিকার লাই হনিকার জিবন তিয়াই ন তাকে
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,হনিকারে প্রচন্ডভাবে বালবাসার মাযে এক দরনঅর দুর্বলতা আচে
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে",ফোয়া আর মাইফোয়া বন্দু অইত ফারে কিন্তু ইতারা এক সময় অবশ্যই একজন আরেকজন অর ফ্রেমঅত ফরিবো
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,ফোয়াওক্কল অর লাই ফিতিবিত বেজ্ঞুনরতুন বেরা মুল্যবান অইলদি মাইফোয়াঅক্কলর আসি
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,তোঁয়ারে দুইচোক বরি দেহা আইযো বাকি
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,তোঁয়ারে হাঁচে আই বেরাই দরা আইযো বাকি
আমার অনেক ঠাণ্ডা লাগছে,আঁর বউত টান্ডা লাগের
আমার মন খারাপ,আঁর মন হারাফ
আপনার কি মন খারাপ ?,অনর কি মন হারাফ নে
তোমার  কি মন খারাপ ?,তোঁয়ার কি মন হারাফ নে
আব্বু আমার জন্য লাল জামা কিনে এনেছে,আব্বু আঁর লাই লাল হঅর কিনি আইন্নে
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,আঁর বন্দু আঁরে এক্কান লাল শারি কিনি দিয়্যে
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,আঁর বন্দু আঁরে ওজ্ঞা লাল গোলাপ কিনি দিয়্যে
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,আঁর আম্মু আঁরে লই ফার্ক অত বেরাইতো যাইবো
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর",বালবাসা যিয়ান যত গোফন অই বালাবাসা ইয়ান তত গবীর
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,বালবাসা ফাইবারতুন বরা বালবাসা দিয়ায় বেশি আনন্দ
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও",তুঁই যদি হনিকারে বালবাসো তইলে ইতারে চারি দ
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল",যদি ইতে তোঁয়ার হাচে ফিরি আয়্যিয়ে তইলে ইতে তোঁয়ারই আচিল
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না",আর যদি ফিরি ন আইয়্যে তইলে ইতে হন অত্তে তোঁয়ার ন আচিল
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে",যেত্তে হনো ফুরুষ হনো নারিরে বালবাসে এত্তে ইতে ইবার লাই বেজ্ঞিন গরিত ফারে
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,মুকে মুকে এগাযা বালবাসি বালবাসি হওয়ারতুন বেরা আঁর মনো অয় বালবাসার মানুষ্যারে বুজিত ফারা আন বউত বর বেফার
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,বালবাসা মানে একজন আরেকজন অরে বুজিত ফারা
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,আঁই যে মানুষ্যারে বালবাইসসম ইতারে যদি বুজিত ন ফারি তইলে এই ফ্রেমর হনো অর্ত আচে বলি মনে ন অয়
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,নিজে অসুকি অয় অন্যরে বালবাসি সুকি গরা ন যায়
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,হনিকাই অনর জিবন অত সুক আনি দিবো বাবি হনিকার লই ফ্রেমত ন জরাইবান
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,অনে হনিজার জিবন অত সুক আনি দিবান বাবি ফ্রেম গরন
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না",সত্যিকারওর বালবাসা শুদু বালবাসার মানুষ্যারে সুকি গইরতো চায় তাত্তুন হনো ফ্রতিফান আশা ন গরে
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,বালবাসা মানি হনিকারে জয় গরা নয় বরং নিজেই হনিকার লাই আরি জন
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,অনে হনোঅত্তে ন ফারিবান অন্য হনিকার বালবাসারে চিনায় লইত কিনবা জোর গরি অন্যর বাল লাগার মানুষ অইত
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,চোকর চাম্মে যারারে দেহন তারারে আগামি হালিয়া দেহিবান কিনা তারও হনো নিচ্চয়তা নেই
ভালো লাগে তোমার ওই কাজল কালো চোখ,গম লাগে তোঁয়ার অই হাজল হালো চোক
তোমার মনের কথা আজ আমাকে খুলে বলো,তোঁয়ার মনোর হতা আযিয়া আঁরে কুল হ
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","আঁর আত্তান দরি সাম্ম্র ফতঅত আগায় চলো, ফিচন ফিরি আর আঁরা ন চাইয়্যুম"
গোলাপ ফুল দিবো আমি তোমার হাতে,গোলাপ ফুল দিয়্যুম আঁই তোয়াঁর আতত
এই মন আজ তোমায় দিলাম,এই মন আজিয়া আঁই তোয়াঁরে দিলাম
তোমার ওই মন আমি নিয়ে নিলাম,তোঁয়ার অই মন আঁই লই লইলাম
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,আযার হতার মাযে এক্কান মন অর হতা লুকায় তাকে
সব কথা মুখে বলে দেওয়া যায়না,বেজ্ঞিন হতা মুকে হওয়া ন যাই
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,আযার হতার মাযে অই এক্কান হতা বুযি ল ফরে
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,যতদিন বাচি তাইক্কম তোঁয়ারে মনত রাইক্কম
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ",যত হস্ট ওক মানি লইয়্যুম তারফরও আযিবন তোঁয়ারেই বালবাইসসম
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ","চ, কি সুন্দর মিস্টি চাঁদর মিস্টি আলো"
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ",ফুলে ফুলে সাযাই রাইক্কি আঁর এ মন তুঁতুঁই আইলে দুইযন মিলি সাজাইয়্যুম এ জিবন
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,ফরাশোনা গরি কি অইব্যদি তোঁয়ারেই ফা ন যাই
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,"মাইফোয়া অক্কলর ফোস্ট অইলদি মাচর বাযারর নান, বেজ্ঞুন আই বির যমায়"
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,"ফোয়া অক্কলর ফোস্ট অইলদি সোমার দোয়ান ওর নান,বর হম মানুষই আইয়্যে"
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে","ফত্তিন গুম যাইবর আগে চিন্তা গরি, যাইওক বিয়া গরিবার আরেক্কান দিন আগাইয়্যে"
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল","বিয়াত মাযে ফোয়ার ফক্কত্তুন দাবি গইরগে দুইয়্যান সোনার জিনিস চাই, মাইফোয়া ফক্ক ইয়ানতই রাজি অ গেয়্যুই"
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,বর্তমান অত ফ্রেমহীন মানুষ তোয়াই ফঅন হস্টগর
মিষ্টি হেসে কথা বলে পাগল করে দিলে,মিডা আসি হতা হয় ফঅল গরি দিয়্যে
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,তোঁয়ারে লই আঁযি যায়্যুম আসসান অর নিল অত
চলোনা কিছু না মেনে ভালোবাসি,আডো না কিচু ন মানি বালবাসি
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই ,আডো দুইযনে মিলি সুকর ফিতিবি সাযাই
তোমাকে নিয়ে আমার সব কল্পনা,তোঁয়ারে লই আঁর বেজ্ঞিন কল্ফনা
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,তোঁয়ারে রিদয় অত রাইক্কম সারাক্ষণ
তুমি যদি চাও বৃষ্টি হবে আজ,তুঁই যদি চ যর ফরিবো আযিয়া
চল দুজনে হাত ধরে হারাবো,আডো দুইজনে আত দরি আঁযি যাই
তোমাকে ছুয়ে দিতে চাই অনুমতি,তোঁয়ারে চুইবর লাই চাই অনুমতি
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,এই চবির বেজ্ঞিন গান আঁর ফ্রিয় আচিল এবং আইযো আচে
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়",আচা বালবাসা ন আরে মিচা বালবাসা আরি যা গই
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,এই সেই সোনালি যুগ অর সেই ফ্রাচিন গান যে গান ফুইনলে বুক্কান বরি যা গই
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে","যতবার দেহি ততবার গম লাগে, মৌসুমিরে গান্নানঅত অসম্বব সুন্দর লাগের"
এখনো ভালো লাগে গানটা,আইযো গম লাগে গানইবা
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,হালা আর লাল শারিত মৌসুমি আফারে অসম্বব সুন্দরি লাগে
মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা ,মনঅত ফরি যা গই আঁর বালবাসার মানুষসার হতা
গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে,গানইবা ফুনিলেই ফুরান ইতিহাস মনঅত ফরে
এই ছবির  সব গানগুলো অনেক সুন্দর,এই চবির বেজ্ঞুন গান বউত সুন্দর
 সব সময়ে গান গুলো বেশ সুন্দর ভালো লাগে শুনতে ,এগাযা গানওন বর সুন্দর ফুইন্তো গম লাগে
মৌসুমি আপুকে বলছি এরকম  একটা ছবি আমাদেরকে আবার উপরহার দিন,মৌসুমি আফারে হয়্যি এন্ডিল্লা এক্কান চবি আঁরারে আবার উফার দঅন
"মৌসুমী আসলেই খুব সুন্দরী, আমি কাছ থেকে দেখেছি","মৌসুমি আসলেই বর সুন্দরি, আঁই হাচ অত্তুন চাই দেইক্কি"
একদিন হয়তো পৃথিবীর মায়া কাটিয়ে চলে যাবো পরপারে,একদিন ফিতিবার মায়া হাডাই যাইয়্যুম বই ফরফারঅত
"চোখ মেললেই দেখি তোমাকে, চোখ বুজলেই পাই আরো কাছে",চোক মেলিলেই দেহি তোঁয়ারে চোক বান্দিলে ফাই আরো হাঁচে
আরও  বেশি ভালবাসা আমি দিতে চাই,আরোও বালভাসা আঁই দিতা চাই
এই  গান আমার এত প্রিয় এখনো শুনি অনেক সুন্দর একটা অনুভুতী কাজ করে,এই গান আঁর এত ফ্রিয় আইযো ফুনি বউত সুন্দর এক্কান অনূবুতি হাজ গরে
"যৌবন আসার আগেই তাকে ভালো বেসেছিলাম, আবার যৌবন শেষ হবার পরেও তাকেই ভালো বাসবো",যৌবন আইবর আগে তারে বলবাইসসিলাম আবার যৌবন শেষ অইবর ফরও তারেই বালবাইসসম
